Transaction Date,Clearing Date,Description,Merchant,Category,Type,Amount (USD),Purchased By
01/03/2026,01/03/2026,NETFLIX.COM,Netflix,Entertainment,Purchase,15.49,John Appleseed
01/04/2026,01/06/2026,UBER *TRIP HELP.UBER.COM,Uber,Transportation,Purchase,41.25,John Appleseed
01/08/2026,01/09/2026,UBER *TRIP HELP.UBER.COM,Uber,Transportation,Purchase,29.09,John Appleseed
01/08/2026,01/08/2026,UBER *TRIP HELP.UBER.COM,Uber,Transportation,Purchase,26.6,John Appleseed
01/09/2026,01/10/2026,ALBERTSONS-SAFEWAY #2214,Safeway,Groceries,Purchase,33.14,John Appleseed
01/17/2026,01/18/2026,APPLE.COM/BILL,Apple Services,Entertainment,Purchase,9.99,John Appleseed
01/19/2026,01/20/2026,DD *WINGSTOP,DoorDash,Restaurants,Purchase,31.55,John Appleseed
01/23/2026,01/24/2026,DD *WINGSTOP,DoorDash,Restaurants,Purchase,51.93,John Appleseed
01/24/2026,01/25/2026,AMZN Mktp US*2KDK6C0K,Amazon Marketplace,Shopping,Purchase,161.67,John Appleseed
01/25/2026,01/26/2026,TARGET 00021842 AUSTIN TX,Target,Shopping,Purchase,60.86,John Appleseed
01/27/2026,01/27/2026,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO,Groceries,Purchase,149.28,John Appleseed
01/28/2026,01/30/2026,ALBERTSONS-SAFEWAY #2214,Safeway,Groceries,Purchase,18.24,John Appleseed
01/29/2026,01/29/2026,Payment,,,Payment,-848.41,John Appleseed
01/31/2026,02/02/2026,AMAZON.COM*2AGP6HUE,Amazon Marketplace,Shopping,Purchase,37.1,John Appleseed
02/03/2026,02/05/2026,NETFLIX.COM,Netflix,Entertainment,Purchase,15.49,John Appleseed
02/04/2026,02/04/2026,ALBERTSONS-SAFEWAY #2214,Safeway,Groceries,Purchase,42.98,John Appleseed
02/06/2026,02/08/2026,COSTCO WHSE #1147,Costco,Groceries,Purchase,201.78,John Appleseed
02/07/2026,02/09/2026,SHELL SERVICE STATION AUSTIN TX,Shell,Transportation,Purchase,50.36,John Appleseed
02/08/2026,02/08/2026,STARBUCKS STORE #05028,Starbucks,Restaurants,Purchase,5.95,John Appleseed
02/11/2026,02/12/2026,AMZN Mktp US*2KUHC0OZ,Amazon Marketplace,Shopping,Purchase,17.64,John Appleseed
02/13/2026,02/14/2026,UBER TRIP 8005928996,Uber,Transportation,Purchase,18.73,John Appleseed
02/14/2026,02/15/2026,APPLE STORE R432 AUSTIN TX,Apple Store,Shopping,Purchase,80.62,John Appleseed
02/15/2026,02/17/2026,SQ *STARBUCKS,Starbucks,Restaurants,Purchase,11.76,John Appleseed
02/16/2026,02/18/2026,SQ *STARBUCKS,Starbucks,Restaurants,Purchase,5.35,John Appleseed
02/17/2026,02/18/2026,APL*ITUNES.COM/BILL,Apple Services,Entertainment,Purchase,9.99,John Appleseed
02/19/2026,02/19/2026,MOZART'S COFFEE ROASTER,Local Diner,Restaurants,Purchase,16.02,John Appleseed
02/19/2026,02/19/2026,UBER TRIP 8005928996,Uber,Transportation,Purchase,8.28,John Appleseed
02/19/2026,02/21/2026,SHELL SERVICE STATION AUSTIN TX,Shell,Transportation,Purchase,44.4,John Appleseed
02/24/2026,02/26/2026,TARGET 00021842 AUSTIN TX,Target,Shopping,Purchase,51.75,John Appleseed
02/28/2026,02/28/2026,WHOLE FOODS MKT #10120,Whole Foods Market,Groceries,Purchase,136.37,John Appleseed
03/01/2026,03/01/2026,Payment,,,Payment,-666.19,John Appleseed
03/01/2026,03/03/2026,LYFT *RIDE THU 2PM,Lyft,Transportation,Purchase,10.74,John Appleseed
03/03/2026,03/04/2026,NETFLIX 118932,Netflix,Entertainment,Purchase,15.49,John Appleseed
03/03/2026,03/04/2026,ALBERTSONS-SAFEWAY #2214,Safeway,Groceries,Purchase,121.7,John Appleseed
03/12/2026,03/12/2026,ALBERTSONS-SAFEWAY #2214,Safeway,Groceries,Purchase,91.19,John Appleseed
03/13/2026,03/14/2026,DOORDASH*COSTCO,Costco (DoorDash),Groceries,Purchase,54.62,John Appleseed
03/17/2026,03/17/2026,APPLE.COM/BILL,Apple Services,Entertainment,Purchase,9.99,John Appleseed
03/23/2026,03/23/2026,UBER TRIP 8005928996,Uber,Transportation,Purchase,22.63,John Appleseed
03/29/2026,03/29/2026,Payment,,,Payment,-717.47,John Appleseed
03/29/2026,03/29/2026,DD *WINGSTOP,DoorDash,Restaurants,Purchase,35.99,John Appleseed
03/29/2026,03/29/2026,AMZN Mktp US*2KTTA8IG,Amazon Marketplace,Shopping,Purchase,25.02,John Appleseed
03/30/2026,03/31/2026,TARGET 00021842 AUSTIN TX,Target,Shopping,Purchase,16.06,John Appleseed
03/31/2026,04/02/2026,UBER TRIP 8005928996,Uber,Transportation,Purchase,25.3,John Appleseed
03/31/2026,03/31/2026,COSTCO WHSE #1147,Costco,Groceries,Purchase,108.13,John Appleseed
04/03/2026,04/04/2026,NETFLIX 118932,Netflix,Entertainment,Purchase,15.49,John Appleseed
04/09/2026,04/10/2026,SHELL OIL 57443982,Shell,Transportation,Purchase,37.22,John Appleseed
04/15/2026,04/17/2026,STARBUCKS STORE #05028,Starbucks,Restaurants,Purchase,10.17,John Appleseed
04/17/2026,04/18/2026,APPLE.COM/BILL,Apple Services,Entertainment,Purchase,9.99,John Appleseed
04/19/2026,04/20/2026,SQ *STARBUCKS,Starbucks,Restaurants,Purchase,5.27,John Appleseed
04/19/2026,04/20/2026,UBER TRIP 8005928996,Uber,Transportation,Purchase,27.51,John Appleseed
04/20/2026,04/20/2026,WHOLE FOODS MKT #10120,Whole Foods Market,Groceries,Purchase,36.76,John Appleseed
04/20/2026,04/22/2026,UBER *TRIP HELP.UBER.COM,UBER,Transportation,Purchase,21.2,John Appleseed
04/21/2026,04/22/2026,TARGET 00021842 AUSTIN TX,Target,Shopping,Purchase,71.41,John Appleseed
04/23/2026,04/25/2026,STARBUCKS STORE #05028,Starbucks,Restaurants,Purchase,11.35,John Appleseed
04/23/2026,04/23/2026,SHELL OIL 57443982,Shell,Transportation,Purchase,47.4,John Appleseed
04/29/2026,04/29/2026,Payment,,,Payment,-536.86,John Appleseed
04/30/2026,05/01/2026,SQ *STARBUCKS,Starbucks,Restaurants,Purchase,10.41,John Appleseed
05/03/2026,05/03/2026,STARBUCKS STORE #05028,Starbucks,Restaurants,Purchase,11.99,John Appleseed
05/03/2026,05/05/2026,NETFLIX 118932,NETFLIX,Entertainment,Purchase,15.49,John Appleseed
05/03/2026,05/05/2026,ALBERTSONS-SAFEWAY #2214,Safeway,Groceries,Purchase,138.42,John Appleseed
05/04/2026,05/06/2026,COSTCO WHOLESALE #1147 AUSTIN TX,Costco,Groceries,Purchase,163.51,John Appleseed
05/04/2026,05/04/2026,TARGET 00021842 AUSTIN TX,Target,Shopping,Purchase,55.94,John Appleseed
05/06/2026,05/07/2026,STARBUCKS STORE #05028,Starbucks,Restaurants,Purchase,10.66,John Appleseed
05/08/2026,05/08/2026,AMAZON.COM*2AO4Z4U9,Amazon Marketplace,Shopping,Purchase,59.02,John Appleseed
05/09/2026,05/11/2026,SQ *STARBUCKS,Starbucks,Restaurants,Purchase,11.24,John Appleseed
05/14/2026,05/15/2026,WHOLEFDS AUS 10120,Whole Foods Market,Groceries,Purchase,61.69,John Appleseed
05/15/2026,05/17/2026,SHELL OIL 57443982,Shell,Transportation,Purchase,56.65,John Appleseed
05/17/2026,05/17/2026,APL*ITUNES.COM/BILL,Apple Services,Entertainment,Purchase,9.99,John Appleseed
05/21/2026,05/23/2026,STARBUCKS STORE #05028,Starbucks,Restaurants,Purchase,11.43,John Appleseed
05/23/2026,05/24/2026,ALBERTSONS-SAFEWAY #2214,Safeway,Groceries,Purchase,64.28,John Appleseed
05/23/2026,05/23/2026,STARBUCKS 800-782-7282 WA,Starbucks,Restaurants,Purchase,5.8,John Appleseed
05/23/2026,05/23/2026,DD *WINGSTOP,DoorDash,Restaurants,Purchase,31.59,John Appleseed
05/26/2026,05/27/2026,STARBUCKS 800-782-7282 WA,Starbucks,Restaurants,Purchase,9.77,John Appleseed
05/28/2026,05/28/2026,UBER *TRIP HELP.UBER.COM,Uber,Transportation,Purchase,11.88,John Appleseed
05/29/2026,05/29/2026,Payment,,,Payment,-304.18,John Appleseed
05/29/2026,05/31/2026,COSTCO WHOLESALE #1147 AUSTIN TX,COSTCO,Groceries,Purchase,193.14,John Appleseed
05/30/2026,05/30/2026,LYFT   RIDE 855-865-9553,Lyft,Transportation,Purchase,26.63,John Appleseed
06/02/2025,06/04/2025,AMAZON.COM*2AK3OSJS,Amazon Marketplace,Shopping,Purchase,161.1,John Appleseed
06/02/2026,06/03/2026,UBER *TRIP HELP.UBER.COM,Uber,Transportation,Purchase,8.2,John Appleseed
06/03/2025,06/05/2025,NETFLIX 118932,Netflix,Entertainment,Purchase,15.49,John Appleseed
06/03/2025,06/03/2025,SQ *JOE'S DINER AUSTIN TX,Local Diner,Restaurants,Purchase,32.38,John Appleseed
06/03/2026,06/05/2026,NETFLIX 118932,Netflix,Entertainment,Purchase,15.49,John Appleseed
06/04/2025,06/06/2025,UBER *TRIP HELP.UBER.COM,UBER,Transportation,Purchase,18.1,John Appleseed
06/04/2026,06/04/2026,COSTCO WHOLESALE #1147 AUSTIN TX,Costco,Groceries,Purchase,168.66,John Appleseed
06/06/2025,06/07/2025,LYFT *RIDE THU 2PM,Lyft,Transportation,Purchase,31.31,John Appleseed
06/06/2025,06/06/2025,SQ *STARBUCKS,Starbucks,Restaurants,Purchase,5.3,John Appleseed
